Index,Raman_Shift,Intensity,Plastic_type
643,1779.19,2.04633,Green_Yarn
644,1781.43,2.37316,Green_Yarn
645,1783.67,7.06549,Green_Yarn
646,1785.91,12.5249,Green_Yarn
647,1788.15,13.4856,Green_Yarn
648,1790.39,7.68969,Green_Yarn
649,1792.63,-1.71842,Green_Yarn
650,1794.86,-8.66831,Green_Yarn
651,1797.1,-9.30994,Green_Yarn
652,1799.33,-4.88655,Green_Yarn
653,1801.57,1.53012,Green_Yarn
654,1803.8,7.51482,Green_Yarn
655,1806.03,6.73034,Green_Yarn
656,1808.26,2.89664,Green_Yarn
657,1810.49,1.62041,Green_Yarn
658,1812.72,-0.016909,Green_Yarn
659,1814.94,-1.02438,Green_Yarn
660,1817.17,1.12449,Green_Yarn
661,1819.4,7.54091,Green_Yarn
662,1821.62,14.823,Green_Yarn
663,1823.84,16.5153,Green_Yarn
664,1826.06,9.14879,Green_Yarn
665,1828.29,-3.07122,Green_Yarn
666,1830.51,-10.7238,Green_Yarn
667,1832.72,-7.4469,Green_Yarn
668,1834.94,3.95321,Green_Yarn
669,1837.16,13.9697,Green_Yarn
670,1839.38,15.1772,Green_Yarn
671,1841.59,8.53221,Green_Yarn
672,1843.8,1.18825,Green_Yarn
673,1846.02,-1.15582,Green_Yarn
674,1848.23,0.966674,Green_Yarn
675,1850.44,3.26644,Green_Yarn
676,1852.65,3.51079,Green_Yarn
677,1854.86,3.61991,Green_Yarn
678,1857.07,6.12155,Green_Yarn
679,1859.27,9.92025,Green_Yarn
680,1861.48,10.8479,Green_Yarn
681,1863.69,6.39073,Green_Yarn
682,1865.89,-1.12659,Green_Yarn
683,1868.09,-5.87208,Green_Yarn
684,1870.29,-6.02106,Green_Yarn
685,1872.5,-2.71022,Green_Yarn
686,1874.7,0.883555,Green_Yarn
687,1876.9,1.02149,Green_Yarn
688,1879.09,-0.98535,Green_Yarn
689,1881.29,-2.09288,Green_Yarn
690,1883.49,0.935337,Green_Yarn
691,1885.68,3.44213,Green_Yarn
692,1887.88,4.06926,Green_Yarn
693,1890.07,3.96963,Green_Yarn
694,1892.26,3.37405,Green_Yarn
695,1894.45,0.978947,Green_Yarn
696,1896.64,-2.73459,Green_Yarn
697,1898.83,-5.91434,Green_Yarn
698,1901.02,-6.07518,Green_Yarn
699,1903.21,-2.51105,Green_Yarn
700,1905.39,2.2716,Green_Yarn
701,1907.58,4.20376,Green_Yarn
702,1909.76,1.57506,Green_Yarn
703,1911.95,-0.961703,Green_Yarn
704,1914.13,-0.73441,Green_Yarn
705,1916.31,2.08756,Green_Yarn
706,1918.49,4.78666,Green_Yarn
707,1920.67,4.6706,Green_Yarn
708,1922.85,3.07119,Green_Yarn
709,1925.03,4.51027,Green_Yarn
710,1927.2,11.3731,Green_Yarn
711,1929.38,20.0324,Green_Yarn
712,1931.55,23.2941,Green_Yarn
713,1933.73,17.1932,Green_Yarn
714,1935.9,5.22168,Green_Yarn
715,1938.07,-4.41177,Green_Yarn
